author,title,Dimensions,ISBN-10,ISBN-13,Language,Print length,Publication date,Publisher,Lexile measure,Reading age,Grade level
Molly Ivins,"Bushwhacked: Life in George W. Bush's America
",5.67 x 1.21 x 8.52 inches,0375507523,978-0375507526,English,368 pages,"September 23, 2003",Random House,,,
Elaine Pagels,"Beyond Belief: The Secret Gospel of Thomas
",5.6 x 1.2 x 8.4 inches,0375501568,978-0375501562,English,272 pages,"May 6, 2003",Random House,,,
Louis Sachar,"Holes (Holes Series)
",5.19 x 0.66 x 7.63 inches,0440414806,978-0440414803,English,233 pages,"May 9, 2000",Yearling,660L,10 - 13 years,5 - 6
Rachael Ray,"30-Minute Meals
",7.11 x 0.62 x 10.08 inches,1891105035,978-1891105036,English,192 pages,"July 20, 1999",Lake Isle Press,,,
Jorge Cruise,"8 Minutes in the Morning: A Simple Way to Shed Up to 2 Pounds a Week -- Guaranteed
",9.38 x 7.5 x 0.8 inches,0060505389,978-0060505387,English,288 pages,"December 24, 2002",,,,
Michael Savage,"The Savage Nation: Saving America from the Liberal Assault on Our Borders, Language and Culture
",6.25 x 1 x 9.25 inches,020049023983,978-0785263531,English,240 pages,"January 1, 2003",WND Books,,,
Jon Krakauer,"Under the Banner of Heaven: A Story of Violent Faith
",6.65 x 1.25 x 9.55 inches,0385509510,978-0385509510,English,372 pages,"July 15, 2003",Doubleday,,,
J. K. Rowling,"Harry Potter and the Order of the Phoenix (Book 5)
",7 x 2.25 x 9.75 inches,0439567629,978-0439567626,English,896 pages,"June 1, 2003",Arthur A. Levine Books,950,9 - 12 years,4 - 7
Erik Larson,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America
",6.43 x 1.43 x 9.55 inches,1617932868,978-0609608449,English,447 pages,"February 11, 2003",Crown,,,
Gary Larson,"The Complete Far Side: 1980-1994
",10.1 x 4 x 14.2 inches,0740721135,978-0740721137,English,1272 pages,"September 1, 2003",Andrews McMeel Publishing,,,
,"Leap of Faith: Memoirs of an Unexpected Life
",6.13 x 9.25 inches,0786867175,978-0786867172,English,480 pages,"March 18, 2003",Miramax,,13 years and up,8 and up
Patricia Schultz,"1,000 Places to See Before You Die: A Traveler's Life List
",5.31 x 1.69 x 7.5 inches,0761104844,978-0761104841,English,992 pages,"May 22, 2003",Workman Publishing Company,,,
,"The Five Love Languages: How to Express Heartfelt Commitment to Your Mate
",6 x 0.5 x 9 inches,1881273156,978-1881273158,English,204 pages,"June 1, 1995",Northfield Publishing,,,
Heidi Murkoff,"What to Expect When You're Expecting
",6.12 x 1.29 x 8.94 inches,9780761121329,978-0761121329,English,624 pages,"February 1, 2002",Workman Publishing Company,,Baby and up,
James Patterson,"The Big Bad Wolf
",6.38 x 1.13 x 9.63 inches,0316602906,978-0316602907,English,390 pages,"January 1, 2003","Little, Brown and Company",,,
Virginia Woolf,"Mrs. Dalloway
",0.6 x 5.3 x 7.9 inches,9780156628709,978-0156628709,English,224 pages,"January 1, 1990",Mariner Books,950L,14 years and up,
Ian McEwan,"Atonement: A Novel
",5.18 x 0.8 x 7.97 inches,9780385721790,978-0385721790,English,351 pages,"February 25, 2003",Anchor Books,,,
,"Merriam-Webster's Collegiate Dictionary, 11th Edition, Jacketed Hardcover, Indexed, 2020 Copyright
",,,,,,,,,,
J.K. Rowling,"Harry Potter and the Order of the Phoenix (Book 5)
",5.32 x 2.83 x 6.03 inches,0807220299,978-0807220290,English,23 pages,"June 1, 2003",Listening Library,,9 - 12 years,4 - 7
A. Scott Berg,"Kate Remembered
",5.96 x 1.35 x 8.72 inches,0399151648,978-0399151644,English,370 pages,"July 11, 2003",Putnam Adult,,18 years and up,
Lemony Snicket,"The Slippery Slope (A Series of Unfortunate Events, Book 10) (A Series of Unfortunate Events, 10)
",5 x 1.23 x 7 inches,0064410137,978-0064410137,English,352 pages,"September 23, 2003",HarperCollins,1150L,8 - 12 years,5 - 6
Patricia Cornwell,"Blow Fly
",6.5 x 1.42 x 9.58 inches,0399150897,978-0399150890,English,465 pages,"October 13, 2003",Putnam,,18 years and up,
Barbara Ehrenreich,"Nickel and Dimed: On (Not) Getting By in America
",5.92 x 0.69 x 7.78 inches,9780805063899,978-0805063899,English,240 pages,"May 1, 2002",Holt Paperbacks,1340L,,
Dan Brown,"Digital Fortress: A Thriller
",5.45 x 1.01 x 8.29 inches,0312263120,978-0312263126,English,384 pages,"May 5, 2000",,,,
Rick Reilly,"Who's Your Caddy?: Looping for the Great, Near Great, and Reprobates of Golf
",6.3 x 1.2 x 9.4 inches,0385488858,978-0385488853,English,272 pages,"May 6, 2003",Doubleday,,,
Arlene Eisenberg,"What to Expect the First Year
",6.06 x 1.55 x 9 inches,0894805770,978-0894805776,English,671 pages,"January 3, 1989",Workman Publishing,,,
Paul Krugman,"The Great Unraveling: Losing Our Way in the New Century
",6.5 x 1.5 x 9.5 inches,0393058506,978-0393058505,English,320 pages,"August 17, 2003",W. W. Norton & Company,,,
Ben Schott,"Schott's Original Miscellany
",4.96 x 0.78 x 7.68 inches,1582343497,978-1582343495,English,160 pages,"August 4, 2003",Bloomsbury USA,,,
Jon Stewart,"America (The Book): A Citizen's Guide to Democracy Inaction
",8.38 x 1 x 10.5 inches,0446532681,978-0446532686,English,240 pages,"September 20, 2004",Grand Central Publishing,,,
Bill Clinton,"My Life
",6.3 x 2.2 x 9.2 inches,0375414576,978-0375414572,English,1008 pages,"June 1, 2004",Knopf,,,
Lynne Truss,"Eats, Shoots & Leaves: The Zero Tolerance Approach to Punctuation
",5.2 x 1 x 7.5 inches,9781592400874,978-1592400874,English,209 pages,"April 1, 2004",Avery,240L,,
J. K. Rowling,"Harry Potter and the Half-Blood Prince (Book 6)
",6.3 x 1.7 x 9.1 inches,0439784549,978-0439784542,English,672 pages,"August 1, 2005",Arthur A. Levine Books,920L,9 - 12 years,4 - 7
Greg Behrendt,"He's Just Not That Into You: The No-Excuses Truth to Understanding Guys
",5.75 x 0.75 x 8.25 inches,068987474X,978-0689874741,English,165 pages,"September 1, 2004",Simon Spotlight Entertainment,,,
John E. O'Neill,"Unfit For Command: Swift Boat Veterans Speak Out Against John Kerry
",6 x 0.9 x 9 inches,0895260174,978-0895260178,English,224 pages,"August 15, 2004",Regnery Publishing,,,
,"The 9/11 Commission Report: Final Report of the National Commission on Terrorist Attacks Upon the United States
",5.5 x 1.5 x 8.3 inches,9780393326710,978-0393326710,English,592 pages,"July 17, 2004",W. W. Norton & Company,,,
Arthur Agatston,"The South Beach Diet Good Fats/Good Carbs Guide: The Complete and Easy Reference for All Your Favorite Foods
",5 x 0.36 x 7 inches,0739466933,978-0739466933,English,160 pages,"March 1, 2004",Rodale Books,,,
Richard A. Clarke,"Against All Enemies: Inside America's War on Terror
",6.3 x 1.5 x 9.45 inches,9780743260244,978-0743260244,English,304 pages,"January 1, 2004",Free Press,,,
Laura Schlessinger,"The Proper Care and Feeding of Husbands
",0.75 x 6 x 8.5 inches,9780060520618,978-0060520618,English,180 pages,"December 30, 2003",Harper,,,
Arthur Agatston,"The South Beach Diet Cookbook
",7.84 x 0.91 x 9.38 inches,1579549578,978-1579549572,English,344 pages,"April 13, 2004",Rodale Books,,,
Bob Woodward,"Plan of Attack
",6.42 x 1.58 x 9.52 inches,074325547X,978-0743255479,English,467 pages,"April 19, 2004",Simon & Schuster,,,
Chris Van Allsburg,"The Polar Express
",11.75 x 0.5 x 9.25 inches,0395389496,978-0395389492,English,32 pages,"January 1, 1985",Houghton Mifflin,520L,3 years and up,2 - 3
David Bach,"The Automatic Millionaire: A Powerful One-Step Plan to Live and Finish Rich
",5.82 x 0.84 x 8.25 inches,0767914104,978-0767914109,English,256 pages,"January 1, 2004",Crown Business,,,
Ian Caldwell,"The Rule of Four
",6.4 x 1.2 x 9.54 inches,0385337116,978-0385337113,English,373 pages,"May 11, 2004",The Dial Press,,,
Khaled  Hosseini,"The Kite Runner
",5.32 x 1.06 x 8.11 inches,1594480001,978-1594480003,English,372 pages,"April 27, 2004",Riverhead Trade,840L,18 years and up,
Bob Dylan,"Chronicles, Vol. 1
",5.63 x 1 x 8.44 inches,0743228154,978-0743228152,English,293 pages,"October 5, 2004",Simon & Schuster,,,
Mark Haddon,"The Curious Incident of the Dog in the Night-Time
",5.2 x 0.7 x 8 inches,9781400032716,978-1400032716,English,226 pages,"May 18, 2004",Vintage Contemporaries,1090L,,
,"The Ultimate Weight Solution Food Guide
",4.19 x 1.8 x 6.75 inches,0743490398,978-0743490399,English,736 pages,"January 1, 2004",Pocket Books,,,
John Grisham,"The Last Juror: A Novel (Grisham, John)
",6.4 x 1.2 x 9.5 inches,0385510438,978-0385510431,English,368 pages,"March 1, 2004",Doubleday,550L,,
Philip Roth,"The Plot Against America: A Novel
",6 x 0.69 x 9 inches,0618509283,978-0618509287,English,391 pages,"September 1, 2004",Houghton Mifflin,,,
Azar Nafisi,"Reading Lolita in Tehran: A Memoir in Books
",5.2 x 0.8 x 8 inches,0812971060,978-0812971064,English,384 pages,"December 30, 2003",Random House Trade Paperbacks,,,
Stephen King,"Song of Susannah (The Dark Tower, Book 6)
",6.5 x 2 x 9.5 inches,1880418592,978-1880418598,English,411 pages,"June 8, 2004",Donald M. Grant/Scribner,,,
,"The Power of Intention
",6.25 x 1.5 x 9.5 inches,1401902154,978-1401902155,English,259 pages,"March 1, 2004",Hay House,,,
David Sedaris,"Dress Your Family in Corduroy and Denim
",6.26 x 0.94 x 8.76 inches,9780316143462,978-0316143462,English,272 pages,"June 1, 2004","Little, Brown and Company",,,
Jeffrey Eugenides,"Middlesex: A Novel
",5.48 x 1.03 x 8.24 inches,9780312422158,978-0312422158,English,529 pages,"September 16, 2002",Picador,,,
Nicholas Perricone,"The Perricone Promise: Look Younger Live Longer in Three Easy Steps
",7.88 x 1.13 x 9.5 inches,044650016X,978-0446500166,English,232 pages,"January 1, 2003",Grand Central Publishing,,,
Stephen King,"The Dark Tower (The Dark Tower, Book 7)
",6.25 x 2.5 x 9.75 inches,1880418622,978-1880418628,English,864 pages,"September 21, 2004",Donald M. Grant/Scribner,930L,,
Susanna Clarke,"Jonathan Strange & Mr. Norrell
",6.34 x 2.31 x 9.88 inches,1582344167,978-1582344164,English,782 pages,"September 8, 2004",Bloomsbury USA,,,
Lemony Snicket,"The Grim Grotto (A Series of Unfortunate Events, Book 11) (A Series of Unfortunate Events, 11)
",5 x 1.23 x 7 inches,0064410145,978-0064410144,English,352 pages,"September 21, 2004",HarperCollins,1040L,8 - 12 years,5 - 6
Ron Suskind,"The Price of Loyalty: George W. Bush, the White House, and the Education of Paul O'Neill
",6.25 x 1 x 9.25 inches,0743255453,978-0743255455,English,368 pages,"January 13, 2004",Simon & Schuster,,,
Ron Chernow,"Alexander Hamilton
",6.42 x 2.04 x 9.51 inches,1594200092,978-1594200090,English,818 pages,"April 26, 2004",The Penguin Press,1280L,,
Tommy Franks,"AMERICAN SOLDIER
",6 x 1.77 x 9 inches,0060731583,978-0060731588,English,590 pages,"August 3, 2004",Regan Books/Harper Collins,,,
,"Family First: Your Step-by-Step Plan for Creating a Phenomenal Family
",6.13 x 0.99 x 9.25 inches,0743264932,978-0743264938,English,286 pages,"September 14, 2004",Free Press,,,
,"One Hundred Years of Solitude (Oprah's Book Club)
",5.5 x 1 x 8.25 inches,0060740450,978-0060740450,English,464 pages,"January 20, 2004",Harper Perennial,,,
Tom Rath,"How Full Is Your Bucket?
",5.8 x 0.6 x 8.8 inches,9781595620033,978-1595620033,English,128 pages,"August 10, 2004",Gallup Press,AD560L,,
Dan Brown,"Angels & Demons
",6.12 x 1.8 x 9.25 inches,0743486226,978-0743486224,English,572 pages,"July 1, 2003",Atria Books,,,
Tom Wolfe,"I Am Charlotte Simmons: A Novel
",6.14 x 1.44 x 9.21 inches,0374281580,978-0002005913,English,688 pages,"November 9, 2004","Farrar, Straus and Giroux",,,
Robert Kurson,"Shadow Divers: The True Adventure of Two Americans Who Risked Everything to Solve One of the Last Mysteries of World War II
",6.93 x 1.32 x 9.56 inches,0375508589,978-0375508585,English,375 pages,"June 29, 2004",Random House,,,
Audrey Niffenegger,"The Time Traveler's Wife
",5.75 x 1.75 x 8 inches,0224072374,978-0224072373,English,546 pages,"May 27, 2004",Harcourt,720L,,
Thomas Frank,"What's the Matter with Kansas? How Conservatives Won the Heart of America
",5.1 x 1.16 x 9.1 inches,0805073396,978-0805073393,English,320 pages,"June 1, 2004",Metropolitan Books,,,
Michael Baigent,"Holy Blood, Holy Grail
",4.27 x 1.13 x 6.93 inches,0440136482,978-0440136484,English,489 pages,"January 15, 1983",Dell Publishing,,,
Carl Hiaasen,"Skinny Dip
",6.1 x 1.5 x 9.4 inches,0375411089,978-0375411083,English,368 pages,"July 13, 2004",Knopf,,,
,"Doyle Brunson's Super System
",6 x 1.3 x 9 inches,9781580420815,978-1580420815,English,605 pages,"January 1, 2002",Cardoza Publishing,,,
Michael Crichton,"State of Fear
",6.12 x 1.4 x 9 inches,0066214130,978-0066214139,English,624 pages,"January 1, 2004",Harpers,,,
Michael Scheuer,"Imperial Hubris: Why the West Is Losing the War on Terror
",,,,,,,,,,
John W. Dean,"Worse Than Watergate: The Secret Presidency of George W. Bush
",5.75 x 1 x 8.5 inches,031600023X,978-0316000239,English,272 pages,"April 6, 2004","Little, Brown and Company",,,
,"10 Real SATs, Third Edition
",,,,,,,,,,
Sean Hannity,"Deliver Us from Evil: Defeating Terrorism, Despotism, and Liberalism
",6 x 1.13 x 9 inches,0060582510,978-0060582517,English,352 pages,"February 17, 2004",William Morrow,,,
Janet Evanovich,"Ten Big Ones (Stephanie Plum Novels)
",6.34 x 1.09 x 9.56 inches,0312289723,978-0312289720,English,320 pages,"June 22, 2004",St. Martin's Press,,,
Ann Coulter,"How to Talk to a Liberal (If You Must): The World According to Ann Coulter
",6.37 x 1.41 x 9.45 inches,1400054184,978-1400054183,English,368 pages,"October 5, 2004",Crown Forum,,,
Brian Greene,"The Fabric of the Cosmos: Space, Time, and the Texture of Reality
",6.41 x 1.56 x 9.56 inches,0375412883,978-0375412882,English,576 pages,"February 10, 2004",Knopf,,,
,"American Dynasty
",6.38 x 1.34 x 9.34 inches,0670032646,978-0670032648,English,397 pages,"January 1, 2004",Viking Adult,,,
Joseph J. Ellis,"His Excellency: George Washington
",6.61 x 1.41 x 9.52 inches,9781400040315,978-1400040315,English,352 pages,"October 26, 2004",Knopf,1390L,,
Suzanne Somers,"The Sexy Years: Discover the Hormone Connection--The Secret to Fabulous Sex, Great Health, and Vitality, for Women and Men
",6.43 x 1.18 x 9.51 inches,0609607219,978-0609607213,English,384 pages,"March 8, 2004",Crown Archetype,,,
Tim Russert,"Big Russ and Me, Father and Son: Lessons of Life
",5.63 x 8.25 inches,1401352081,978-1401352080,English,336 pages,"May 10, 2004",Miramax Books,,13 years and up,8 and up
Karen Katz,"Counting Kisses: A Kiss & Read Book
",,9780689856587,978-0689856587,English,32 pages,"January 1, 2003",Little Simon,NP,1 - 5 years,Preschool - Kindergarten
Ruth Reichl,"The Gourmet Cookbook: More than 1000 recipes
",9 x 2.25 x 10.5 inches,0618374086,978-0618374083,English,1040 pages,"January 1, 2004",Houghton-Mifflin,,,
Patricia Cornwell,"Trace: A Scarpetta Novel
",6.5 x 1.51 x 9.5 inches,0399152199,978-0399152191,English,448 pages,"September 2, 2004",Putnam Adult,,18 years and up,
Tony Hendra,"Father Joe: The Man Who Saved My Soul
",6.29 x 0.98 x 9.52 inches,1400061849,978-1400061846,English,271 pages,"May 18, 2004",Random House,,,
Kerry Patterson,"Crucial Conversations: Tools for Talking When Stakes are High
",6 x 0.63 x 9 inches,0071401946,978-0071401944,English,256 pages,"June 18, 2002",McGraw-Hill,,,
Joel Osteen,"Your Best Life Now: 7 Steps to Living at Your Full Potential
",6.75 x 1.25 x 9.25 inches,9780446532754,978-0446532754,English,310 pages,"October 12, 2004",Warner Faith,,,
David Zinczenko,"The Abs Diet: The Six-Week Plan to Flatten Your Stomach and Keep You Lean for Life
",6 x 1.04 x 9 inches,1579549985,978-1579549985,English,304 pages,"June 19, 2004",Rodale Books,,,
Ina Garten,"Barefoot in Paris: Easy French Food You Can Make at Home
",7.75 x 0.81 x 10.31 inches,1400049350,978-1400049356,English,240 pages,"October 26, 2004",Clarkson Potter,,,
,"Glorious Appearing: The End of Days
",6.75 x 1.5 x 9.75 inches,0842332359,978-0842332354,English,399 pages,"March 17, 2004",Tynedale House Publishers,920L,,
James Patterson,"London Bridges (Alex Cross Novel)
",6.38 x 1.25 x 9.63 inches,0316710598,978-0316710596,English,400 pages,"November 8, 2004","Little, Brown and Company",,,
George Carlin,"When Will Jesus Bring the Pork Chops?
",6 x 8 inches,1401301347,978-1401301347,English,320 pages,"October 12, 2004",Hachette Books,,13 years and up,8 and up
Thomas L. Friedman,"The World Is Flat: A Brief History of the Twenty-first Century
",6.24 x 1.56 x 9.25 inches,9780374292881,978-0374292881,English,488 pages,"April 5, 2005","Farrar, Straus and Giroux",,,
Steven D. Levitt,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything - by Steven D. Levitt & Stephen J. Dubner
",6.13 x 0.89 x 9 inches,006073132X,978-0060731328,English,242 pages,"May 1, 2005",William Morrow,,,
Michael F. Roizen,"YOU: The Owner's Manual
",8 x 1.5 x 9.5 inches,9780060765316,978-0060765316,English,417 pages,"May 3, 2005",WilliamMr,,,
James Frey,"A Million Little Pieces
",7.9 x 5.1 x 1.1 inches,0307276902,978-0307276902,English,430 pages,"September 22, 2005",Anchor,,,
Malcolm Gladwell,"Blink: The Power of Thinking Without Thinking
",5.6 x 1 x 8.3 inches,0316172324,978-0316172325,English,288 pages,"January 1, 2005","Little, Brown & Co.",1100L,,
David McCullough,"1776
",6.25 x 1.3 x 9.25 inches,0743226712,978-0743226714,English,400 pages,"May 24, 2005",Simon & Schuster,1300L,,
Jack Welch,"Winning
",6 x 1.21 x 9 inches,9780060753948,,English,384 pages,"April 1, 2005",Harper Business,,,
,"The Official SAT Study Guide: For the New SAT (tm)
",,,,,,,,,,
Christopher Paolini,"Eldest
",6.44 x 1.98 x 9.38 inches,037582670X,978-0375826702,English,704 pages,"January 1, 2005",Knopf Books for Young Readers,970L,12 - 15 years,7 - 9
Jared Diamond,"Collapse: How Societies Choose to Fail or Succeed
",6.46 x 1.84 x 9.58 inches,0670033375,978-0670033379,English,592 pages,"December 31, 2004",Penguin Group USA Inc.,,18 years and up,
Mireille Guiliano,"French Women Don't Get Fat: The Secret of Eating for Pleasure
",5.6 x 1.2 x 8.4 inches,9781400042128,978-1400042128,English,263 pages,"January 4, 2005",Alfred A. Knopf,,,
T. Harv Eker,"Secrets of the Millionaire Mind: Mastering the Inner Game of Wealth
",8.1 x 5.3 x 0.9 inches,,,English,210 pages,"February 15, 2005",Harper Business,,,
Joan Didion,"The Year of Magical Thinking
",5.6 x 0.9 x 8.2 inches,140004314X,978-1400043149,English,227 pages,"October 4, 2005",Alfred A. Knopf,,,
Harry G. Frankfurt,"On Bullshit
",,0691122946,978-0691122946,English,67 pages,"January 1, 2005",Princeton University Press,,,
Mark Leyner,"Why Do Men Have Nipples? Hundreds of Questions You'd Only Ask a Doctor After Your Third Martini
",5.01 x 0.46 x 7.83 inches,1400082315,978-1400082315,English,224 pages,"July 26, 2005",Crown,,,
Doris Kearns Goodwin,"Team of Rivals: The Political Genius of Abraham Lincoln
",6.25 x 2.2 x 9.25 inches,0684824906,978-0684824901,English,916 pages,"October 25, 2005",Simon & Schuster,,,
Giada De Laurentiis,"Everyday Italian: 125 Simple and Delicious Recipes
",7.73 x 0.81 x 9.75 inches,1400052580,978-1400052585,English,256 pages,"February 22, 2005",Clarkson Potter,,,
